id,pvq_type,lang,question
1,21,fr,Réfléchir à de nouvelles idées et être créatif c'est important pour lui/elle. Il/elle aime faire les choses à sa manière.
2,21,fr,C'est important pour lui/elle d’être riche. Il/elle veut avoir beaucoup d’argent et des choses chères.
3,21,fr,Il/Elle pense que c' est important que tout être humain soit traité de manière égale. Il/Elle pense que tout le monde devrait avoir des chances égales dans la vie.
4,21,fr,C'est important pour lui/elle de montrer de quoi il/elle est capable. Il/Elle veut que les gens admirent ce qu’il/Elle fait.
5,21,fr,Vivre dans un environnement sécurisant est important pour lui/elle. Il/elle évite tout ce qui peut mettre en danger sa sécurité.
6,21,fr,Il/elle aime les surprises et cherche toujours de nouvelles choses à faire. Il/elle pense que c'est important de faire beaucoup de choses différentes dans la vie.
7,21,fr,"Il/elle pense que les gens devraient faire ce qu’on leur dit. Il/elle pense que les gens devraient toujours suivre les règles établies, même si personne ne les surveille."
8,21,fr,"C'est important pour lui/elle d’écouter les gens qui sont différents de lui/elle. Même quand il/elle n’est pas d’accord avec eux, il/elle tient quand même à les comprendre."
9,21,fr,Être humble et modeste est important pour lui. Il/Elle essaie de ne pas attirer l’attention sur lui/elle.
10,21,fr,Avoir du bon temps est important pour lui/elle. Il/Elle aime bien se faire plaisir.
11,21,fr,C'est important pour lui/elle de décider tout seul de ce qu'il/elle va faire. Il/Elle aime être libre et ne pas dépendre des autres.
12,21,fr,C’est très important pour lui/elle d’aider les gens qui l'entourent. Il/Elle désire se préoccuper de leur bien-être.
13,21,fr,Avoir beaucoup de succès est important pour lui/elle. Il/Elle espère que les gens reconnaîtront ce qu'il/elle a fait.
14,21,fr,C'est important pour lui/elle que le gouvernement garantisse sa sécurité. Il/Elle veut un État fort qui défende les citoyens.
15,21,fr,Il/Elle recherche l’aventure et aime prendre des risques. Il/Elle désire une vie excitante.
16,21,fr,Se comporter toujours comme il faut est important pour lui/elle. Il/Elle ne veut rien faire que les gens puissent lui/elle reprocher.
17,21,fr,C'est important pour lui/elle d’être respecté par les autres. Il/Elle veut que les autres fassent ce qu’il/elle leur dit.
18,21,fr,Être fidèle à ses amis est important pour lui/elle. Il/Elle veut se dévouer pour les personnes qui lui sont proches.
19,21,fr,Il/Elle pense que les gens doivent se soucier de la nature. S'occuper de l’environnement est important pour lui/elle.
20,21,fr,Les traditions sont importantes pour lui/elle. Il/Elle essaie de suivre les coutumes transmises par la religion et la famille.
21,21,fr,Il/Elle recherche toutes les occasions de s’amuser. C’est important pour lui/elle de faire des choses qui lui/elle procurent du plaisir.